id,screen_area,feature,user_story,expected_behaviour,source_refs,status,test_method,test_result,error_type,error_detail,fix_summary,fix_refs,retest_result
F001,storefront /,Featured products,"As a shopper, I want to see featured products on the home page, so that I can start browsing immediately.","Grid of up to 8 products; skeleton while loading; a coherent empty/first-run state instead of a titled void when there are zero products.","app/page.tsx:48-53;components/product/products-grid.tsx:32,48,67","retested-pass","code-path trace","fail: heading+View-all rendered above an absent grid when empty","ux:states-are-features","ProductsGridContent returned null on empty while the heading/'View all' still rendered, leaving a titled void on a fresh store.","ProductsGridContent renders a coherent empty-state card when zero products; heading moved inside Suspense so it never sits above a void.","components/product/products-grid.tsx:48-95","pass: check-types+build green; empty-state renders"
F002,storefront /products/[handle],Product display,"As a shopper, I want to see a product's images, price, description and specs, so that I can evaluate it.","Media gallery, streamed price, description and metafields render; missing product 404s; placeholders while loading.","app/products/[handle]/page.tsx:90,100-112;components/product/product-detail-section.tsx:86-199","tested","code-path trace","pass: 404 on missing; sections stream with Suspense fallbacks","none",,,,
F003,storefront /products/[handle],Variant selection,"As a shopper, I want to pick size/color, so that I buy the exact variant I want.","Option pickers update price/media; selection in URL; unavailable combos disabled.","components/product/option-picker.tsx:16;product-detail-section.tsx:202-231","tested","code-path trace","pass","none",,,,
F004,storefront /products/[handle],Add to cart,"As a shopper, I want to add a product to my cart, so that I can purchase it.","Optimistic add with feedback; when no variant is resolved the CTA shows a disabled 'Select options' state, not disappear.","components/product/buy-buttons.tsx:55,86-88;components/cart/context.tsx:285","retested-pass","code-path trace","fail: BuyButtons returned null with no variant","ux:hidden-affordance","With no variant the entire buy block returned null, silently vanishing.","BuyButtons no longer returns null; buttons disable and Add-to-cart reads 'Select options'.","components/product-detail/buy-buttons.tsx:66-120;lib/i18n/messages/en.json","pass: check-types+build green; disabled CTA renders"
F005,storefront /products/[handle],Buy now,"As a shopper, I want a one-click buy, so that I can check out fast.","Buy-now adds and redirects to /checkout; disabled coherently with no variant.","components/product/buy-buttons.tsx:69;lib/cart/action.ts:261","tested","code-path trace","pass (shares CTA hardened in F004)","none",,,,
F006,storefront /products/[handle],Cross-sell,"As a shopper, I want related/bundle/'pairs with' products, so that I discover more.","Sections render when present and hide cleanly when absent.","product-detail-section.tsx:255-267","tested","code-path trace","pass","none",,,,
F007,storefront /collections,Collections listing,"As a shopper, I want to browse all collections, so that I can navigate by category.","Grid of collection cards; empty state; a route-level loading state while the blocking fetch resolves.","app/collections/page.tsx:40;collections.ts:33","retested-pass","code-path trace","fail: awaited data directly, no loading state","ux:states-are-features","getCollectionsListing awaited directly with no loading.tsx; navigation showed a frozen click.","Added app/collections/loading.tsx so navigation shows a loader while the fetch resolves.","app/collections/loading.tsx","pass: build green; loader present"
F008,storefront /collections/[handle],Filter products,"As a shopper, I want to filter a collection by category/brand, so that I narrow to what I want.","Facet sidebar shows real facet values with counts; active-filter badge reflects selection.","collection-page.tsx:56-76,127;products.ts:159","tested","code-path trace + runtime facet check","pass: real facets returned","none",,,,
F009,storefront /collections/[handle],Sort products,"As a shopper, I want to sort results, so that I see the most relevant order.","Sort select offers supported orders; current sort visible.","collection-page.tsx:77-81","tested","code-path trace","pass","none",,,,
F010,storefront /collections/[handle],Results grid,"As a shopper, I want results to load as I scroll, so that browsing is fluid.","Infinite-scroll grid; clear empty state; load-more indicator.","collection-page.tsx:84-89;infinite-product-grid.tsx:30,73","tested","code-path trace","pass","none",,,,
